identifier,date,report,desc,title,for,against,abstention,no_show,excused
169883,2024-10-22,,,Recital C,,,,672,2
169884,2024-10-22,,,Recital F,,,,672,2
169885,2024-10-22 12:11:20,A10-0009/2024,,Michalis Hadjipantela - Proposition de résolution (ensemble du texte),601,47,17,7,2
169887,2024-10-22 12:10:05,A10-0007/2024,,Siegfried Mureşan - Proposition de résolution (ensemble du texte),522,115,25,10,2
169889,2024-10-22 12:06:31,A10-0006/2024,,Karin Karlsbro - Proposition de la Commission,518,56,61,37,2
169890,2024-10-22 12:08:45,A10-0005/2024,,Siegfried Mureşan - Proposition de résolution (ensemble du texte),531,91,35,15,2
169892,2024-10-22,,,Proposal for a decision,,,,672,2
169894,2024-10-22 12:13:17,A10-0003/2024,,Jonas Sjöstedt - Proposition de résolution (ensemble du texte),431,131,83,27,2
169898,2024-10-23 12:51:21,A10–0004/2024,,Li Andersson-Commission proposal,444,179,20,15,3
169901,2024-10-22 12:12:28,A10-0003/2024,,Jonas Sjöstedt - § 14,429,206,26,11,2
169903,2024-10-22,,,§ 16,,,,672,2
169904,2024-10-22 12:13:00,A10-0003/2024,,Jonas Sjöstedt - § 16/2,417,204,37,14,2
169905,2024-10-22 12:08:18,A10-0005/2024,,Siegfried Mureşan - § 6,417,192,50,13,2
169907,2024-10-22,,,§ 4,,,,672,2
169908,2024-10-22 12:09:23,A10-0007/2024,,Siegfried Mureşan - § 4/2,391,201,68,12,2
169909,2024-10-22 12:09:44,A10-0007/2024,,Siegfried Mureşan - Après le § 5 - Am 1,193,455,13,11,2
169916,2024-10-23,,,§ 1,,,,658,3
169917,2024-10-23,,,After § 1,,,,658,3
169918,2024-10-23,,,After § 2,,,,658,3
169921,2024-10-23,,,After § 6,,,,658,3
169939,2024-10-23,,,§ 42,,,,658,3
169949,2024-10-23,,,§ 62,,,,658,3
169961,2024-10-23,,,After § 67,,,,658,3
169963,2024-10-23,,,§ 75,,,,658,3
169968,2024-10-23,,,§ 78,,,,658,3
169971,2024-10-23,,,After § 82,,,,658,3
169972,2024-10-23,,,§ 84,,,,658,3
169978,2024-10-23,,,"§ 90, point g",449,177,18,658,3
169987,2024-10-23 12:45:30,A10–0008/2024,,"Victor Negrescu, Niclas Herbst-Motion for a resolution (text as a whole)",233,360,59,6,3
170005,2024-10-21 17:27:14,Tuesday’s agenda,,Request by the Verts/ALE Group,164,319,1,143,2
170006,2024-10-21 17:27:47,Tuesday’s agenda,,Request by the Renew Group,158,288,34,147,2
170009,2024-10-23,,,Amendments by the committee responsible – separate votes,,,,658,3
170010,2024-10-23 12:46:25,A10–0004/2024,,Li Andersson-Amendments by the committee responsible-separate votes-Am 1/2,430,188,22,18,3
170012,2024-10-23,,,Amendments by the committee responsible – separate votes,,,,658,3
170013,2024-10-23 12:46:43,A10–0004/2024,,Li Andersson-Amendments by the committee responsible-separate votes-Am 5/2,452,144,44,18,3
170015,2024-10-23 12:46:55,A10–0004/2024,,Li Andersson-Amendments by the committee responsible-separate votes-Am 10/1,418,180,31,29,3
170016,2024-10-23 12:47:06,A10–0004/2024,,Li Andersson-Amendments by the committee responsible-separate votes-Am 10/2,362,243,36,17,3
